test_num,ignition,spark_x,spark_z,energy
138,1,0.692801545,7.059176346,14.22686392
139,1,0.422341023,7.283198106,14.76899557
140,1,0.533436161,6.79026991,17.35104745
142,1,0.604406978,6.969959681,13.30690964
143,1,0.2778565,7.540025349,13.71139171
144,1,1.090612228,6.936746152,13.96793831
145,1,4.036910251,6.328482288,8.464780687
146,1,4.447707875,6.141920287,14.06088272
147,1,4.323668261,6.158799702,12.85384012
148,1,4.643107271,6.229193346,12.56378458
149,1,5.916574688,6.284931381,11.48249522
152,1,4.818459892,6.168984029,11.52758157
153,1,4.013936637,6.177384156,11.33974648
154,1,4.233849164,6.084986507,11.59591387
155,1,4.340523032,6.308897902,13.3298785
156,1,4.305998842,6.147565988,7.063531641
157,1,6.77318346,6.093749562,13.50562397
158,1,6.599908521,6.129224621,9.824189581
159,0,7.012594127,6.124425104,9.585444011
160,1,6.765927459,6.279464583,10.26518241
161,1,6.889000099,6.167135964,9.269596952
162,1,7.047714836,6.174496684,11.44857715
163,0,7.089438258,6.163893879,8.098055613
164,0,6.707850843,6.060009978,8.958783059
165,1,6.764556891,6.042546455,13.6906061
166,1,6.946901006,6.184288664,9.798159312
167,0,7.088224873,6.187916029,8.435174921
168,0,8.085382848,6.052370392,9.56348025
169,0,7.828984135,6.059922405,11.3470822
170,0,7.953487429,6.185476185,8.177119613
171,0,7.98399681,6.196160925,13.16712533
172,0,8.234113781,6.057913912,9.553766504
173,1,5.893507656,6.068704229,12.9910275
174,1,6.039601383,6.042161887,12.2642518
175,1,5.480331485,6.131122451,14.27680588
176,1,5.675554762,6.251430038,13.26612227
177,1,5.785982997,6.250327668,10.19037121
178,1,4.906403281,6.086585885,9.944282565
179,1,5.205657163,6.096780612,14.67144914
180,1,5.307993292,6.16264159,10.27915719
181,1,4.893668976,5.975492876,10.27664723
182,1,5.17375085,6.198820201,14.00323386
183,0,7.078228798,6.268637178,8.594973475
184,0,7.053166101,6.154557739,8.733096405
185,1,6.929747313,6.150527259,12.72624663
186,0,7.104706142,6.164082428,5.838784102
187,0,6.989876786,6.141652517,3.518973181
188,0,7.867884418,6.135137331,8.594973475
189,0,8.102868858,6.160714019,8.733096405
190,0,7.954515752,6.14772803,12.72624663
191,0,8.189063387,6.145273601,5.838784102
192,0,8.468209481,6.165178034,3.518973181
194,1,-0.257879237,13.4315008,29.72686461
195,1,0.823406746,13.4873243,25.7439123
196,1,0.374158582,14.03827668,26.40922996
197,1,0.48333326,13.62685413,28.15613434
198,1,0.355523052,13.79312964,30.22013467
199,1,0.232999233,13.72623465,24.45642318
201,1,-0.011645807,13.88622879,27.47260392
202,1,3.478668368,12.96580024,24.06935258
203,1,3.540198421,13.07775884,28.53838525
204,1,3.417588912,12.94900737,26.2337314
205,1,3.815344613,12.96930133,26.22645975
206,1,3.645229958,13.03849221,28.90527199
207,1,6.443160477,12.88516254,28.52509786
208,1,6.397795149,12.88051959,28.88263495
209,1,6.299868881,12.89438812,25.34795399
210,1,6.573630701,12.85099565,23.21778509
211,1,6.326203053,12.81990068,25.352238
212,0,9.399771977,12.96426575,25.77629997
213,0,9.273039671,12.832419,27.10094082
214,0,9.301019148,12.92316573,24.84570947
215,0,9.153866355,12.8046466,25.05887308
216,0,9.374793046,12.79199254,25.73492748
217,1,7.259360876,12.80749846,26.09967018
218,1,7.265492234,12.71361357,26.55127354
219,1,7.048420575,12.82087504,23.32598611
220,1,7.257353996,12.79770672,26.48518686
221,0,7.36534013,12.8184519,24.45341064
222,0,7.253700244,12.84544607,26.24822491
223,1,7.054179789,12.71956563,24.47624034
224,1,7.176355162,12.80202129,26.15988561
225,0,7.202906686,12.83445248,30.26650238
226,1,7.275374107,12.70069265,26.35170059
227,1,8.287525403,12.78160595,29.62951777
228,0,8.396592482,12.95204535,26.90692087
229,0,8.270466439,12.71578911,26.09279922
230,0,8.668296179,12.83511612,24.89710052
231,0,8.126968938,12.83890671,25.56095915
232,0,8.168550457,12.84128226,25.53629658
233,0,8.294679349,12.83535796,27.98926461
234,0,8.463420887,12.83065521,28.81363337
235,1,8.401408684,12.81599363,28.5088457
236,0,8.502398599,12.81783586,25.75120547
237,0,7.799748015,12.67403766,26.18653632
238,1,7.659154421,12.73359963,24.34706824
239,0,5.717716959,12.79667309,26.9506312
240,0,6.576580462,12.58646088,24.66490174
241,1,6.429545726,12.770472,28.15778419
242,0,6.380489787,12.78070712,24.31004882
243,0,6.512074567,12.82930098,25.05047192
245,1,5.481861892,12.9610089,25.81137272
246,1,5.371056894,12.84891451,24.04578582
247,1,5.438833321,12.88374583,26.5062681
248,1,5.467478962,12.87588565,25.91772588
249,1,5.682078951,12.82784844,27.90262275
250,1,0.061230876,20.27776121,28.16711033
252,1,-0.183834606,20.18619501,18.96821409
253,1,-0.366330396,20.12828059,21.44934653
254,1,-0.091526632,20.05756735,23.16817741
255,1,-0.445125761,20.41083963,26.08322327
256,1,-0.457104172,20.48360201,30.19927525
257,1,-0.013477358,20.05908008,27.08083169
258,1,-0.544465796,20.13830009,31.60190193
259,1,0.043058914,20.18537798,25.97652185
260,1,-0.182451618,20.22826267,28.64179964
261,1,-0.806619985,20.22895314,31.86977894
262,1,0.361146941,20.82497234,26.85085839
265,1,2.830981609,19.92584562,29.39183227
266,1,2.955506857,19.77930343,27.8737409
267,1,2.979289776,19.72986018,26.25020021
268,1,2.809087839,19.7916863,27.68644175
269,1,2.844322128,19.9944408,29.8151149
270,1,5.515669541,19.55619862,25.42632289
271,1,5.629713815,19.31235155,25.03990152
272,1,5.909165346,19.47432295,24.11127534
273,1,6.072668884,19.60118542,29.02289196
274,1,5.56275104,19.41276038,20.07250287
275,1,8.587054957,19.3242938,23.00149332
276,1,8.479961928,19.33384144,25.84193426
277,1,8.677837739,19.30552162,21.30923634
278,1,8.440722773,19.36115713,25.77612239
279,1,8.185576765,19.21116996,26.28317964
280,1,8.238461893,19.22908674,17.6042908
281,0,8.620153955,19.32853007,21.90918872
282,1,8.51011973,19.36443694,19.29699324
283,0,8.255969092,19.43444277,23.06746429
284,0,8.382689841,19.3677512,21.83938326
285,0,9.628468461,19.31084496,28.58025921
286,0,9.550730306,19.35255015,22.92978243
287,0,9.549298704,19.35716285,24.74080453
288,1,9.373508114,19.3849112,26.08075116
289,0,9.597062513,19.37082335,28.74555983
290,0,9.249752194,19.39951047,27.74558384
291,0,9.428871937,19.4292304,28.1700333
292,1,9.379784869,19.48588612,26.1286909
293,0,9.528098967,19.3229198,26.16894227
294,0,9.432511464,19.40147544,15.31587641
295,0,10.44124304,19.38686046,24.20958157
296,0,10.53542648,19.39825338,25.96114407
297,1,10.38202134,19.27917849,24.0496623
298,0,10.2887573,19.42054609,24.00023785
299,0,10.33369903,19.35176995,25.62951703
300,0,10.31235095,19.40497133,27.69530285
301,0,10.42144067,19.2176217,26.7915022
302,1,10.26427144,19.24038334,28.40740213
303,1,10.29614189,19.37015054,23.67049949
304,0,10.2024362,19.48244523,26.35513637
305,1,10.19828315,19.37191299,27.94542052
306,0,10.27526265,19.37497542,28.67351544
307,0,10.25882584,19.28425059,28.57067316
308,0,10.37642342,19.36386886,26.55023841
309,0,10.43979178,19.31932392,28.22143484
310,0,11.38483432,19.371034,25.97266518
311,0,11.31809532,19.38674379,26.46433143
312,0,11.31978514,19.33092949,25.07888509
313,0,11.03661508,19.29250114,22.85753301
314,0,11.47470729,19.32517171,27.08419978
315,0,9.349536052,19.35904563,27.80896157
316,0,9.344692973,19.40261329,25.66761631
317,1,9.307313999,19.4037571,25.94554478
318,0,9.399904306,19.58931694,27.992279
319,1,9.423159339,19.33342378,25.33838725
320,1,7.243795278,19.41073107,18.46824253
321,0,7.528887852,19.41112155,16.38615138
322,1,7.320844532,19.39925289,12.6487823
323,0,7.479641035,19.40380155,16.39170487
324,1,7.287149327,19.41791614,25.00979966
325,1,7.43850083,19.34340831,25.37468508
326,1,7.4130426,19.39657386,21.52643202
327,0,7.522869912,19.39069678,23.94455413
328,0,7.44857262,19.40291732,19.76973112
329,1,7.449953915,19.39898404,23.3862584
330,1,6.719922835,19.40817391,25.65473357
331,1,6.378017466,19.39106716,26.82202464
332,1,6.565077121,19.53597325,24.74820776
333,1,6.786079522,19.36581506,25.38445124
334,1,6.638707182,19.48999671,24.42099038
335,1,0.810647583,20.3706889,28.35963605
336,1,0.474452405,20.44105369,27.36008727
337,1,0.62470559,20.59143336,28.06921753
338,1,0.534999422,21.12830746,31.72789004
339,1,1.290366721,18.79286119,29.90436532
